City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,25.76,69,100,1.34,PF,1676469998
1,mataura,-46.1927,168.8643,10.17,95,65,0.3,NZ,1676469999
2,geraldton,-28.7667,114.6,22.23,78,40,5.14,AU,1676470000
3,faanui,-16.4833,-151.75,27.22,76,19,4.93,PF,1676470001
4,beloha,-25.1667,45.05,33.16,34,21,4.01,MG,1676470002
5,kapaa,22.0752,-159.319,20.99,90,75,5.14,US,1676470003
6,punta arenas,-53.15,-70.9167,7.06,61,75,8.75,CL,1676469932
7,nago,26.5881,127.9761,14.24,69,96,7.85,JP,1676470004
8,albany,42.6001,-73.9662,8.1,51,100,0.89,US,1676470005
9,macau,22.2006,113.5461,16.85,67,0,6.17,MO,1676470006
10,barrow,71.2906,-156.7887,-26.99,76,100,7.2,US,1676470007
11,luderitz,-26.6481,15.1594,24.31,58,39,13.75,NA,1676470008
12,caibarien,22.5206,-79.4669,21.62,65,0,5.98,CU,1676469845
13,tuktoyaktuk,69.4541,-133.0374,-31.75,97,15,4.63,CA,1676470009
14,pisco,-13.7,-76.2167,23.34,88,75,4.63,PE,1676470010
15,tasiilaq,65.6145,-37.6368,-4.91,85,91,1.98,GL,1676470011
16,talagang,32.9297,72.4158,17.06,39,34,1.03,PK,1676470012
17,arraial do cabo,-22.9661,-42.0278,31.92,62,20,4.12,BR,1676470013
18,port elizabeth,-33.918,25.5701,25.16,69,75,4.63,ZA,1676469807
19,tumen,42.9661,129.8425,-12.08,77,3,1.11,CN,1676470016
20,atuona,-9.8,-139.0333,25.7,75,11,6.94,PF,1676470195
21,cape town,-33.9258,18.4232,26.73,68,29,6.26,ZA,1676470054
22,bassila,9.0081,1.6654,35.68,9,3,3.0,BJ,1676470240
23,amalapuram,16.5833,82.0167,22.85,76,0,2.47,IN,1676470241
24,tanout,14.9709,8.8879,24.01,13,0,8.97,NE,1676470243
25,guasdualito,7.2424,-70.7324,29.26,58,95,4.06,VE,1676470245
26,springbok,-29.6643,17.8865,28.03,26,0,8.16,ZA,1676470246
27,butaritari,3.0707,172.7902,26.83,80,68,5.01,KI,1676470247
28,camacha,33.0833,-16.3333,13.68,67,40,10.29,PT,1676470248
29,nizwa,22.9333,57.5333,28.26,9,15,3.45,OM,1676470035
30,puerto ayora,-0.7393,-90.3518,27.98,91,2,0.45,EC,1676470251
31,miguel alves,-4.1656,-42.8953,33.91,44,69,1.79,BR,1676470252
32,hilo,19.7297,-155.09,22.38,88,0,1.54,US,1676470255
33,valverde del camino,37.5751,-6.7543,15.02,46,100,5.46,ES,1676470256
34,berlevag,70.8578,29.0864,4.0,75,75,5.14,NO,1676470257
35,upernavik,72.7868,-56.1549,-30.52,78,93,2.85,GL,1676470259
36,xochihuehuetlan,17.9167,-98.4333,17.92,61,3,0.92,MX,1676470260
37,parvatipuram,18.7833,83.4333,22.36,59,0,1.39,IN,1676470263
38,dano,11.15,-3.0667,36.78,7,87,4.87,BF,1676470265
39,nikolskoye,59.7035,30.7861,2.11,93,99,2.06,RU,1676470267
40,bluff,-46.6,168.3333,13.31,88,49,3.24,NZ,1676470269
